Fuel type,N2/N3,Weghit,Standart,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel,N3,28001 - 32000 kg,Euro 6,0.09,8.7,9.27,9.57,8.83,9.09,11.33,206.48,179.41,179.41,40.41,29.29,59.14,72.55,12.2,44.43,206.48,206.48,193.21,113.44,130.92,71.11,117.61,131.44,102.82,206.48,206.48,206.48,0.27,0.37,0.37,3.24,3.5,3.5,179.41,179.41,179.41,9.81,1.55,1.71,30.95,8.06,8.12,193.21,193.21,193.21,122.37,13.5,34.01,109.32,78.47,47.77,206.48,206.48,206.48,56.86,60.21,62.64,62.33,63.86,60.43,325.58,288.49,288.49
Diesel,N3,32001 - 40000 kg,Euro 0,0,17.49,14.97,15.9,17.76,17.29,20.59,392.5,302.09,302.09,59.17,45.74,78.95,112.1,36.07,65.82,392.5,392.5,351.42,176.57,180.93,108.25,187.93,194.41,147.47,392.5,392.5,392.5,8.51,8.19,8.19,9.2,9.26,9.26,302.09,302.09,302.09,18.72,6.79,7.76,45.27,18.04,16.31,351.42,351.42,351.42,163.55,31.42,53.13,163.4,124.04,79.99,392.5,392.5,392.5,70.13,70.59,73.17,76.39,76.7,74.6,535.59,422.39,422.39
Diesel,N3,32001 - 40000 kg,Euro 1,0,16.5,14.22,15.04,16.89,16.45,19.28,334.33,260.3,260.3,51.65,39.89,69.48,98.32,31.72,57.69,334.33,334.33,300.24,152,158.61,95.14,161.37,171.49,129.93,334.33,334.33,334.33,7.89,7.2,7.2,8.71,8.73,8.73,260.3,260.3,260.3,17.74,6.63,7.44,38.24,16.24,14.76,300.24,300.24,300.24,145.13,28.8,46.03,144.04,110.15,67.79,334.33,334.33,334.33,63.42,64,66.5,68.44,69.56,67.54,452.61,365.35,365.35
Diesel,N3,32001 - 40000 kg,Euro 2,0,16.79,14.48,15.37,17.18,16.54,19.23,302.25,239.87,239.87,50.08,38.6,67.06,93.56,30.3,55.62,302.25,302.25,273.35,141.05,150.73,90.75,149.29,160.46,124.55,302.25,302.25,302.25,8.21,7.66,7.66,9.05,9.13,9.13,239.87,239.87,239.87,17.79,7.02,7.87,37.02,16.16,14.71,273.35,273.35,273.35,140.41,27.85,44.06,137.3,103.47,62.62,302.25,302.25,302.25,62.18,63.09,65.39,66.92,68.18,66.13,416.47,343.82,343.82
Diesel,N3,32001 - 40000 kg,Euro 3,0.01,25.97,21.5,22.49,27.16,25.37,28.17,336.38,262.66,262.66,65.05,50.52,77.37,108.67,45.68,68.32,336.38,336.38,302.83,165.35,167.81,105.89,174.19,181.9,142.02,336.38,336.38,336.38,16.64,15.05,15.05,16.87,16.68,16.68,262.66,262.66,262.66,26.72,14.44,15.41,46.66,26.42,23.84,302.83,302.83,302.83,155.29,42.38,55.97,157.11,118.07,77.34,336.38,336.38,336.38,68.92,67.24,69.95,74.31,74.35,72.36,448.87,364.33,364.33
Diesel,N3,32001 - 40000 kg,Euro 4,0.01,7.51,7.91,8.15,6.79,7.15,10.06,245.29,196.97,196.97,35.84,26.4,58.33,73.17,13.95,43.38,245.29,245.29,218.99,116.26,132.84,71.46,121.11,136.73,104.16,245.29,245.29,245.29,0.1,0.14,0.14,2.63,2.83,2.83,196.97,196.97,196.97,8.44,1.1,1.21,28.92,6.83,7.13,218.99,218.99,218.99,123.64,14.01,31.81,114.43,81.65,46.49,245.29,245.29,245.29,50.99,53.86,55.82,54.79,56.83,55.39,364.77,306.21,306.21
Diesel,N3,32001 - 40000 kg,Euro 5,0,7.54,7.91,8.21,6.86,7.19,10.06,279.91,221.86,221.86,36.33,27.83,58.31,76.29,14.57,46.39,279.91,279.91,245.83,122.55,130.5,74.74,127.49,145.06,112.24,279.91,279.91,279.91,0.1,0.13,0.13,2.66,2.85,2.85,221.86,221.86,221.86,8.41,1.07,1.19,31.15,6.81,7.07,245.83,245.83,245.83,127.03,14.86,34.61,123.45,88.49,47.92,279.91,279.91,279.91,51.17,53.84,55.83,55.01,56.92,55.5,401.31,331.6,331.6
Diesel,N3,32001 - 40000 kg,Euro 6,0.01,7.47,7.78,8.12,6.8,7.11,9.98,278.38,219.34,219.34,36.24,27.9,58.65,76.05,14.55,46.56,278.38,278.38,243.31,122.16,131.14,74.55,126.96,145.18,112.04,278.38,278.38,278.38,0.09,0.13,0.13,2.62,2.82,2.82,219.34,219.34,219.34,8.3,1.04,1.15,30.83,6.82,7.1,243.31,243.31,243.31,127.93,14.89,34.41,123.08,88.56,48.18,278.38,278.38,278.38,50.99,53.24,55.15,54.79,56.58,54.98,398.76,329.56,329.56
Diesel,N3,>40000 kg,Euro 0,0,17.49,14.97,15.9,17.76,17.29,20.59,392.5,302.09,302.09,59.17,45.74,78.95,112.1,36.07,65.82,392.5,392.5,351.42,176.57,180.93,108.25,187.93,194.41,147.47,392.5,392.5,392.5,8.51,8.19,8.19,9.2,9.26,9.26,302.09,302.09,302.09,18.72,6.79,7.76,45.27,18.04,16.31,351.42,351.42,351.42,163.55,31.42,53.13,163.4,124.04,79.99,392.5,392.5,392.5,70.13,70.59,73.17,76.39,76.7,74.6,535.59,422.39,422.39
Diesel,N3,>40000 kg,Euro 1,0,16.5,14.22,15.04,16.89,16.45,19.28,334.33,260.3,260.3,51.65,39.89,69.48,98.32,31.72,57.69,334.33,334.33,300.24,152,158.61,95.14,161.37,171.49,129.93,334.33,334.33,334.33,7.89,7.2,7.2,8.71,8.73,8.73,260.3,260.3,260.3,17.74,6.63,7.44,38.24,16.24,14.76,300.24,300.24,300.24,145.13,28.8,46.03,144.04,110.15,67.79,334.33,334.33,334.33,63.42,64,66.5,68.44,69.56,67.54,452.61,365.35,365.35
Diesel,N3,>40000 kg,Euro 2,0,16.79,14.48,15.37,17.18,16.54,19.23,302.25,239.87,239.87,50.08,38.6,67.06,93.56,30.3,55.62,302.25,302.25,273.35,141.05,150.73,90.75,149.29,160.46,124.55,302.25,302.25,302.25,8.21,7.66,7.66,9.05,9.13,9.13,239.87,239.87,239.87,17.79,7.02,7.87,37.02,16.16,14.71,273.35,273.35,273.35,140.41,27.85,44.06,137.3,103.47,62.62,302.25,302.25,302.25,62.18,63.09,65.39,66.92,68.18,66.13,416.47,343.82,343.82
Diesel,N3,>40000 kg,Euro 3,0.01,25.97,21.5,22.49,27.16,25.37,28.17,336.38,262.66,262.66,65.05,50.52,77.37,108.67,45.68,68.32,336.38,336.38,302.83,165.35,167.81,105.89,174.19,181.9,142.02,336.38,336.38,336.38,16.64,15.05,15.05,16.87,16.68,16.68,262.66,262.66,262.66,26.72,14.44,15.41,46.66,26.42,23.84,302.83,302.83,302.83,155.29,42.38,55.97,157.11,118.07,77.34,336.38,336.38,336.38,68.92,67.24,69.95,74.31,74.35,72.36,448.87,364.33,364.33
Diesel,N3,>40000 kg,Euro 4,0,7.51,7.91,8.15,6.79,7.15,10.06,245.29,196.97,196.97,35.84,26.4,58.33,73.17,13.95,43.38,245.29,245.29,218.99,116.26,132.84,71.46,121.11,136.73,104.16,245.29,245.29,245.29,0.1,0.14,0.14,2.63,2.83,2.83,196.97,196.97,196.97,8.44,1.1,1.21,28.92,6.83,7.13,218.99,218.99,218.99,123.64,14.01,31.81,114.43,81.65,46.49,245.29,245.29,245.29,50.99,53.86,55.82,54.79,56.83,55.39,364.77,306.21,306.21
Diesel,N3,>40000 kg,Euro 5,0.01,7.54,7.91,8.21,6.86,7.19,10.06,279.91,221.86,221.86,36.33,27.83,58.31,76.29,14.57,46.39,279.91,279.91,245.83,122.55,130.5,74.74,127.49,145.06,112.24,279.91,279.91,279.91,0.1,0.13,0.13,2.66,2.85,2.85,221.86,221.86,221.86,8.41,1.07,1.19,31.15,6.81,7.07,245.83,245.83,245.83,127.03,14.86,34.61,123.45,88.49,47.92,279.91,279.91,279.91,51.17,53.84,55.83,55.01,56.92,55.5,401.31,331.6,331.6
Diesel,N3,>40000 kg,Euro 6,0.02,7.47,7.78,8.12,6.8,7.11,9.98,278.38,219.34,219.34,36.24,27.9,58.65,76.05,14.55,46.56,278.38,278.38,243.31,122.16,131.14,74.55,126.96,145.18,112.04,278.38,278.38,278.38,0.09,0.13,0.13,2.62,2.82,2.82,219.34,219.34,219.34,8.3,1.04,1.15,30.83,6.82,7.1,243.31,243.31,243.31,127.93,14.89,34.41,123.08,88.56,48.18,278.38,278.38,278.38,50.99,53.24,55.15,54.79,56.58,54.98,398.76,329.56,329.56
