Fuel type,N2/N3,Weghit,Standart,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel,N3,12001 - 14000 kg,Euro 3,0,15.93,16.5,17.45,17.53,16.53,15.63,192.88,146.69,146.69,37.48,29.5,42.51,64.83,25.89,39.27,192.88,192.88,173.02,96.69,91.87,63.21,101.98,97.16,80.26,192.88,192.88,192.88,8.39,7.45,7.45,11.7,12.87,12.87,146.69,146.69,146.69,16.28,10.95,12.15,28.66,14.31,14.18,173.02,173.02,173.02,84.24,24.39,32.17,88.98,67.68,44.09,192.88,192.88,192.88,46.52,53.83,57.15,47.82,50.68,49.83,249.1,197.49,197.49
Diesel,N3,12001 - 14000 kg,Euro 4,0,5.85,7.05,7.7,6.08,7.03,7.46,137.92,108.42,108.42,21.69,16.9,32.97,42.43,8.16,25.25,137.92,137.92,124.19,67.53,72.15,41.59,69.97,71.59,57.71,137.92,137.92,137.92,0.63,0.77,0.77,2.83,3.23,3.23,108.42,108.42,108.42,7.08,2.01,2.4,17.52,4.88,5.05,124.19,124.19,124.19,67.12,8.28,19.56,63.72,46.34,28.03,137.92,137.92,137.92,37.58,45.75,49.18,37.56,41.71,41.74,197.71,162.44,162.44
Diesel,N3,12001 - 14000 kg,Euro 6,0.01,5.78,6.86,7.53,6.04,6.71,7.34,146.56,115.38,115.38,22.07,17.07,33.84,43.05,8.5,26.61,146.56,146.56,130.43,70.49,72.24,42.21,72.93,74.25,58.49,146.56,146.56,146.56,0.62,0.76,0.76,2.71,3.09,3.09,115.38,115.38,115.38,6.94,1.9,2.36,18.02,4.85,5.08,130.43,130.43,130.43,5.95,16.97,17.24,67.38,6.23,31.93,146.56,146.56,146.56,36.91,45.09,48.46,36.9,41.18,40.93,206.35,169.69,169.69
Diesel,N3,14001 - 20000 kg,Euro 0,0.01,16.69,16.83,18.37,17.64,17.11,16.56,330.55,244.71,244.71,50.35,38.92,60.15,95.89,31.02,54.22,330.55,330.55,292.76,152,140.13,92.62,162.25,145.08,116.81,330.55,330.55,330.55,6.81,6.11,6.11,10.12,11.82,11.82,244.71,244.71,244.71,16.88,8.74,10.9,39.85,15.45,14.7,292.76,292.76,292.76,123,26.9,43.59,130.39,103.01,67.16,330.55,330.55,330.55,64.35,71.56,76.16,67.34,69.44,67.8,427.92,326.14,326.14
Diesel,N3,14001 - 20000 kg,Euro 1,0.02,14.33,14.41,15.68,15.29,14.61,14.09,254.43,190.87,190.87,39.71,30.77,48.02,76.31,25.1,43.37,254.43,254.43,225.75,118.37,111.97,73.84,126.13,117.93,94.12,254.43,254.43,254.43,5.62,4.93,4.93,8.53,9.91,9.91,190.87,190.87,190.87,14.41,7.58,9.35,30.4,12.4,11.72,225.75,225.75,225.75,100.5,22.68,34.33,105.17,82.32,51.14,254.43,254.43,254.43,52.43,58.72,62.5,54.53,56.88,55.35,328.16,256.49,256.49
Diesel,N3,14001 - 20000 kg,Euro 2,0.02,14.42,13.93,15.37,15.19,14.48,14.13,226.56,172.73,172.73,37.95,29.22,45.57,71.22,23.91,41.2,226.56,226.56,204.88,109.75,104.64,69.06,116.57,107.75,88.92,226.56,226.56,226.56,6.36,5.43,5.43,8.37,9.77,9.77,172.73,172.73,172.73,14.42,7.37,9.33,28.59,12.31,11.64,204.88,204.88,204.88,95.01,22.35,32.46,98.45,77.52,47.23,226.56,226.56,226.56,50.77,56.33,59.48,52.59,55.09,53.6,297.64,236.5,236.5
Diesel,N3,14001 - 20000 kg,Euro 3,0.04,21.8,19.79,21.51,23.22,21.04,20.1,257.96,192.89,192.89,50.22,38.85,53.4,84.47,36.08,51.94,257.96,257.96,231.95,130.86,119.29,82.19,137.91,124.44,103.62,257.96,257.96,257.96,12.18,10.11,10.11,14.47,16.2,16.2,192.89,192.89,192.89,21,13.3,15.63,36.97,19.96,18.45,231.95,231.95,231.95,107.88,34.56,42.05,114.68,90.47,59.35,257.96,257.96,257.96,55.9,60.65,64.28,58.65,59.89,57.57,329.21,256.59,256.59
Diesel,N3,14001 - 20000 kg,Euro 4,0.04,6.7,7.55,7.96,6.94,7.6,8.48,179.4,137.74,137.74,27.49,20.97,40.06,53.87,10.88,31.82,179.4,179.4,160.63,89.79,91.09,52.68,93.05,90.63,71.58,179.4,179.4,179.4,0.56,0.69,0.69,2.91,3.25,3.25,137.74,137.74,137.74,7.76,1.79,2.19,21.52,6.05,6.06,160.63,160.63,160.63,84.01,10.66,24.15,79.48,60.32,36.99,179.4,179.4,179.4,42.41,49.03,52.79,43.73,47.02,46.27,253.85,206.57,206.57
Diesel,N3,14001 - 20000 kg,Euro 5,0.05,6.75,7.52,7.96,7.1,7.57,8.55,194.34,148.64,148.64,28.67,21.76,41.26,55.27,11.75,33.75,194.34,194.34,173.78,94.5,91.21,54.01,97.94,98.27,74,194.34,194.34,194.34,0.53,0.66,0.66,2.93,3.27,3.27,148.64,148.64,148.64,7.8,1.79,2.18,22.44,6.2,6.14,173.78,173.78,173.78,84.99,11.54,25.37,81.59,62.46,37.64,194.34,194.34,194.34,42.68,48.91,52.35,44.17,47.24,46.28,271.66,217.45,217.45
Diesel,N3,14001 - 20000 kg,Euro 6,0.1,6.62,7.39,7.86,6.91,7.38,8.41,189.44,145.92,145.92,28.19,21.34,41.02,54.26,11.31,33.3,189.44,189.44,170.42,92.63,90.2,53.08,95.84,97.16,72.96,189.44,189.44,189.44,0.51,0.65,0.65,2.87,3.2,3.2,145.92,145.92,145.92,7.65,1.75,2.15,22.15,6.07,6,170.42,170.42,170.42,84.6,11.16,24.92,80.03,61.51,36.84,189.44,189.44,189.44,41.97,48.36,51.99,43.42,46.59,45.47,266.17,214.76,214.76
