Fuel type,N2/N3,Weghit,Standart,COLD,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Diesel,N3,32001 - 40000 kg,Euro 0,0.334,0.0005,0.6965,0.6692,0.6659,0.7321,0.6953,0.6877,2.926,2.0203,2.0203,0.9607,0.8442,0.8203,1.2277,0.8866,0.8801,2.926,2.926,2.4921,1.7222,1.3227,1.2137,1.7898,1.5174,1.2395,2.926,2.926,2.926,0.663,0.6624,0.6624,0.6699,0.6682,0.6682,2.0203,2.0203,2.0203
Diesel,N3,32001 - 40000 kg,Euro 1,0.334,0.0014,0.8945,0.8735,0.8711,0.9426,0.88,0.881,2.6889,1.9927,1.9927,1.1051,1.0282,0.9915,1.3095,1.0781,1.0639,2.6889,2.6889,2.3549,1.6993,1.4482,1.2973,1.7353,1.5987,1.3539,2.6889,2.6889,2.6889,0.8746,0.8726,0.8726,0.8711,0.8724,0.8724,1.9927,1.9927,1.9927
Diesel,N3,32001 - 40000 kg,Euro 2,0.334,0.0009,0.5631,0.5777,0.5815,0.5666,0.5605,0.5706,1.6884,1.237,1.237,0.6756,0.6298,0.6281,0.8032,0.6529,0.6411,1.6884,1.6884,1.4616,1.0721,0.8753,0.7959,1.0961,0.9685,0.831,1.6884,1.6884,1.6884,0.5867,0.5868,0.5868,0.5799,0.5836,0.5836,1.237,1.237,1.237
Diesel,N3,32001 - 40000 kg,Euro 3,0.334,0.0061,0.4503,0.454,0.4586,0.4576,0.4503,0.4559,1.5051,1.0697,1.0697,0.5798,0.522,0.5035,0.6835,0.5563,0.5273,1.5051,1.5051,1.2879,0.9361,0.7444,0.6775,0.9557,0.8414,0.7139,1.5051,1.5051,1.5051,0.4624,0.4615,0.4615,0.4575,0.4584,0.4584,1.0697,1.0697,1.0697
Diesel,N3,32001 - 40000 kg,Euro 4,0.334,0.0057,0.0767,0.0806,0.0852,0.0845,0.0759,0.0733,0.163,0.1347,0.1347,0.0947,0.091,0.0788,0.1025,0.1017,0.09,0.163,0.163,0.149,0.1192,0.1045,0.102,0.1201,0.1124,0.1071,0.163,0.163,0.163,0.0933,0.0966,0.0966,0.0784,0.0867,0.0867,0.1347,0.1347,0.1347
Diesel,N3,32001 - 40000 kg,Euro 5,0.334,0.0034,0.1044,0.1026,0.1007,0.1123,0.107,0.1043,0.3003,0.2239,0.2239,0.136,0.122,0.1168,0.1561,0.1375,0.1245,0.3003,0.3003,0.2606,0.1896,0.1575,0.1548,0.1941,0.1784,0.162,0.3003,0.3003,0.3003,0.0928,0.0919,0.0919,0.1028,0.0984,0.0984,0.2239,0.2239,0.2239
Diesel,N3,32001 - 40000 kg,Euro 6,0.334,0.0136,0.0461,0.0443,0.0432,0.0515,0.0472,0.045,0.144,0.1052,0.1052,0.0644,0.0564,0.0518,0.0745,0.0657,0.0572,0.144,0.144,0.1246,0.0911,0.0734,0.0738,0.0933,0.0839,0.0761,0.144,0.144,0.144,0.0414,0.0409,0.0409,0.0444,0.043,0.043,0.1052,0.1052,0.1052
Diesel,N3,>40000 kg,Euro 0,0.334,0.0029,0.6965,0.6692,0.6659,0.7321,0.6953,0.6877,2.926,2.0203,2.0203,0.9607,0.8442,0.8203,1.2277,0.8866,0.8801,2.926,2.926,2.4921,1.7222,1.3227,1.2137,1.7898,1.5174,1.2395,2.926,2.926,2.926,0.663,0.6624,0.6624,0.6699,0.6682,0.6682,2.0203,2.0203,2.0203
Diesel,N3,>40000 kg,Euro 1,0.334,0.0034,0.8945,0.8735,0.8711,0.9426,0.88,0.881,2.6889,1.9927,1.9927,1.1051,1.0282,0.9915,1.3095,1.0781,1.0639,2.6889,2.6889,2.3549,1.6993,1.4482,1.2973,1.7353,1.5987,1.3539,2.6889,2.6889,2.6889,0.8746,0.8726,0.8726,0.8711,0.8724,0.8724,1.9927,1.9927,1.9927
Diesel,N3,>40000 kg,Euro 2,0.334,0.0023,0.5631,0.5777,0.5815,0.5666,0.5605,0.5706,1.6884,1.237,1.237,0.6756,0.6298,0.6281,0.8032,0.6529,0.6411,1.6884,1.6884,1.4616,1.0721,0.8753,0.7959,1.0961,0.9685,0.831,1.6884,1.6884,1.6884,0.5867,0.5868,0.5868,0.5799,0.5836,0.5836,1.237,1.237,1.237
Diesel,N3,>40000 kg,Euro 3,0.334,0.0066,0.4503,0.454,0.4586,0.4576,0.4503,0.4559,1.5051,1.0697,1.0697,0.5798,0.522,0.5035,0.6835,0.5563,0.5273,1.5051,1.5051,1.2879,0.9361,0.7444,0.6775,0.9557,0.8414,0.7139,1.5051,1.5051,1.5051,0.4624,0.4615,0.4615,0.4575,0.4584,0.4584,1.0697,1.0697,1.0697
Diesel,N3,>40000 kg,Euro 4,0.334,0.0043,0.0767,0.0806,0.0852,0.0845,0.0759,0.0733,0.163,0.1347,0.1347,0.0947,0.091,0.0788,0.1025,0.1017,0.09,0.163,0.163,0.149,0.1192,0.1045,0.102,0.1201,0.1124,0.1071,0.163,0.163,0.163,0.0933,0.0966,0.0966,0.0784,0.0867,0.0867,0.1347,0.1347,0.1347
Diesel,N3,>40000 kg,Euro 5,0.334,0.0073,0.1044,0.1026,0.1007,0.1123,0.107,0.1043,0.3003,0.2239,0.2239,0.136,0.122,0.1168,0.1561,0.1375,0.1245,0.3003,0.3003,0.2606,0.1896,0.1575,0.1548,0.1941,0.1784,0.162,0.3003,0.3003,0.3003,0.0928,0.0919,0.0919,0.1028,0.0984,0.0984,0.2239,0.2239,0.2239
Diesel,N3,>40000 kg,Euro 6,0.334,0.019,0.0461,0.0443,0.0432,0.0515,0.0472,0.045,0.144,0.1052,0.1052,0.0644,0.0564,0.0518,0.0745,0.0657,0.0572,0.144,0.144,0.1246,0.0911,0.0734,0.0738,0.0933,0.0839,0.0761,0.144,0.144,0.144,0.0414,0.0409,0.0409,0.0444,0.043,0.043,0.1052,0.1052,0.1052
