Fuel type,N2/N3,Weghit,Standart,COLD,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Diesel,N3,32001 - 40000 kg,Euro 2,0.0665,0.0009,0.3318,0.3069,0.3048,0.3611,0.318,0.317,0.5702,0.5075,0.5075,0.3891,0.3461,0.3253,0.5004,0.369,0.3418,0.5702,0.5702,0.5435,0.4573,0.4484,0.4992,0.4702,0.5049,0.4419,0.5702,0.5702,0.5702,0.3109,0.3107,0.3107,0.3061,0.3062,0.3062,0.5075,0.5075,0.5075
Diesel,N3,32001 - 40000 kg,Euro 3,0.0665,0.0061,0.2697,0.2856,0.2886,0.2664,0.2672,0.2791,0.5706,0.443,0.443,0.2961,0.2764,0.2941,0.3552,0.2811,0.2815,0.5706,0.5706,0.5122,0.3951,0.3671,0.3539,0.4034,0.421,0.349,0.5706,0.5706,0.5706,0.3004,0.3002,0.3002,0.2856,0.2896,0.2896,0.443,0.443,0.443
Diesel,N3,32001 - 40000 kg,Euro 4,0.0665,0.0057,0.0621,0.0577,0.0584,0.0772,0.0634,0.0581,0.1716,0.1371,0.1371,0.1061,0.086,0.0685,0.1113,0.1115,0.0845,0.1716,0.1716,0.1554,0.137,0.113,0.1112,0.1363,0.1367,0.1125,0.1716,0.1716,0.1716,0.061,0.0621,0.0621,0.0572,0.0586,0.0586,0.1371,0.1371,0.1371
Diesel,N3,32001 - 40000 kg,Euro 5,0.0665,0.0034,0.0862,0.073,0.0726,0.0911,0.0827,0.0818,0.2012,0.1586,0.1586,0.1091,0.0977,0.0833,0.1167,0.1111,0.0947,0.2012,0.2012,0.1765,0.1435,0.1219,0.1165,0.1444,0.1371,0.1227,0.2012,0.2012,0.2012,0.0761,0.0756,0.0756,0.0746,0.0734,0.0734,0.1586,0.1586,0.1586
Diesel,N3,32001 - 40000 kg,Euro 6,0.0665,0.0136,0.0072,0.0065,0.0063,0.0075,0.0071,0.007,0.021,0.0164,0.0164,0.009,0.0082,0.0073,0.0106,0.009,0.0083,0.021,0.021,0.0186,0.013,0.0106,0.0104,0.0134,0.0123,0.0108,0.021,0.021,0.021,0.006,0.006,0.006,0.0065,0.0062,0.0062,0.0164,0.0164,0.0164
Diesel,N3,>40000 kg,Euro 0,0.0665,0.0029,0.8121,0.7864,0.781,0.8364,0.8173,0.7986,1.5871,1.3223,1.3223,0.9295,0.8813,0.869,1.1081,0.8854,0.8901,1.5871,1.5871,1.4422,1.2147,1.1298,1.1042,1.2312,1.1937,1.0623,1.5871,1.5871,1.5871,0.789,0.7874,0.7874,0.7906,0.7854,0.7854,1.3223,1.3223,1.3223
Diesel,N3,>40000 kg,Euro 1,0.0665,0.0034,0.7367,0.7248,0.7184,0.7198,0.7193,0.7297,1.259,1.0781,1.0781,0.7243,0.7411,0.77,0.8635,0.675,0.7563,1.259,1.259,1.168,0.9028,0.926,0.8588,0.9248,0.916,0.8683,1.259,1.259,1.259,0.7268,0.7258,0.7258,0.7276,0.7243,0.7243,1.0781,1.0781,1.0781
Diesel,N3,>40000 kg,Euro 2,0.0665,0.0023,0.3318,0.3069,0.3048,0.3611,0.318,0.317,0.5702,0.5075,0.5075,0.3891,0.3461,0.3253,0.5004,0.369,0.3418,0.5702,0.5702,0.5435,0.4573,0.4484,0.4992,0.4702,0.5049,0.4419,0.5702,0.5702,0.5702,0.3109,0.3107,0.3107,0.3061,0.3062,0.3062,0.5075,0.5075,0.5075
Diesel,N3,>40000 kg,Euro 3,0.0665,0.0066,0.2697,0.2856,0.2886,0.2664,0.2672,0.2791,0.5706,0.443,0.443,0.2961,0.2764,0.2941,0.3552,0.2811,0.2815,0.5706,0.5706,0.5122,0.3951,0.3671,0.3539,0.4034,0.421,0.349,0.5706,0.5706,0.5706,0.3004,0.3002,0.3002,0.2856,0.2896,0.2896,0.443,0.443,0.443
Diesel,N3,>40000 kg,Euro 4,0.0665,0.0043,0.0621,0.0577,0.0584,0.0772,0.0634,0.0581,0.1716,0.1371,0.1371,0.1061,0.086,0.0685,0.1113,0.1115,0.0845,0.1716,0.1716,0.1554,0.137,0.113,0.1112,0.1363,0.1367,0.1125,0.1716,0.1716,0.1716,0.061,0.0621,0.0621,0.0572,0.0586,0.0586,0.1371,0.1371,0.1371
Diesel,N3,>40000 kg,Euro 5,0.0665,0.0073,0.0862,0.073,0.0726,0.0911,0.0827,0.0818,0.2012,0.1586,0.1586,0.1091,0.0977,0.0833,0.1167,0.1111,0.0947,0.2012,0.2012,0.1765,0.1435,0.1219,0.1165,0.1444,0.1371,0.1227,0.2012,0.2012,0.2012,0.0761,0.0756,0.0756,0.0746,0.0734,0.0734,0.1586,0.1586,0.1586
Diesel,N3,>40000 kg,Euro 6,0.0665,0.019,0.0072,0.0065,0.0063,0.0075,0.0071,0.007,0.021,0.0164,0.0164,0.009,0.0082,0.0073,0.0106,0.009,0.0083,0.021,0.021,0.0186,0.013,0.0106,0.0104,0.0134,0.0123,0.0108,0.021,0.021,0.021,0.006,0.006,0.006,0.0065,0.0062,0.0062,0.0164,0.0164,0.0164
