Fuel type,N2/N3,Weghit,Standart,COLD,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Diesel,N3,14001 - 20000 kg,Euro 6,0.0584,0.1045,0.1957,0.1108,0.1134,0.2213,0.1793,0.1492,2.5301,1.0865,1.0865,0.3803,0.2686,0.1659,0.6002,0.553,0.2735,2.5301,2.5301,1.6064,1.0288,0.3757,0.594,1.0852,0.7247,0.4342,2.5301,2.5301,2.5301,0.1223,0.1347,0.1347,0.1335,0.1168,0.1168,1.0865,1.0865,1.0865
Diesel,N3,20001 - 26000 kg,Euro 0,0.0584,0.0039,8.5459,9.1215,9.3265,8.4942,8.8254,8.9256,22.0026,18.6801,18.6801,10.6925,10.168,11.5827,11.9512,10.4748,11.0332,22.0026,22.0026,20.3253,15.0676,15.3279,11.8424,15.2748,15.2428,13.9397,22.0026,22.0026,22.0026,9.3155,9.6116,9.6116,9.0269,9.1937,9.1937,18.6801,18.6801,18.6801
Diesel,N3,20001 - 26000 kg,Euro 1,0.0584,0.0091,6.0267,6.3511,6.4846,5.9604,6.1616,6.224,15.6691,13.1811,13.1811,7.5863,7.2899,8.0438,8.4334,7.5019,7.8467,15.6691,15.6691,14.5276,10.6765,10.6061,8.3553,10.8718,10.261,9.8151,15.6691,15.6691,15.6691,6.82,7.029,7.029,6.4466,6.5626,6.5626,13.1811,13.1811,13.1811
Diesel,N3,20001 - 26000 kg,Euro 2,0.0584,0.0066,6.5549,6.8339,6.8952,6.5688,6.6839,6.7839,17.3788,14.4784,14.4784,8.4014,7.9961,8.6266,9.2672,8.4717,8.5388,17.3788,17.3788,16.0396,11.9228,11.461,9.1752,12.1224,11.3359,10.7314,17.3788,17.3788,17.3788,7.3179,7.4417,7.4417,7.0483,7.0887,7.0887,14.4784,14.4784,14.4784
Diesel,N3,20001 - 26000 kg,Euro 3,0.0584,0.0233,5.3567,5.7529,5.6002,5.574,5.6752,5.91,14.8043,11.9897,11.9897,6.8235,6.3587,6.6242,7.9669,6.8642,6.6072,14.8043,14.8043,13.3759,9.952,9.2911,7.8647,10.2543,9.2261,8.733,14.8043,14.8043,14.8043,5.2152,5.1596,5.1596,5.7656,5.5749,5.5749,11.9897,11.9897,11.9897
Diesel,N3,20001 - 26000 kg,Euro 4,0.0584,0.0227,3.7554,3.2556,3.1631,4.1304,3.6325,3.4934,13.4426,11.07,11.07,5.7951,4.8805,4.3364,7.0647,5.8513,5.0911,13.4426,13.4426,12.4051,8.9935,7.5299,6.95,9.2701,8.3872,7.3409,13.4426,13.4426,13.4426,2.8217,2.7303,2.7303,3.2686,3.1396,3.1396,11.07,11.07,11.07
Diesel,N3,20001 - 26000 kg,Euro 5,0.0584,0.032,2.7333,2.3607,2.2463,3.1944,2.6175,2.5451,12.7589,9.7389,9.7389,4.7723,3.8456,3.1182,5.9215,4.8818,3.9295,12.7589,12.7589,11.3567,7.7695,6.083,5.8159,8.0909,7.1648,6.0799,12.7589,12.7589,12.7589,1.9696,1.845,1.845,2.3894,2.2564,2.2564,9.7389,9.7389,9.7389
Diesel,N3,20001 - 26000 kg,Euro 6,0.0584,0.0768,0.2183,0.1247,0.1468,0.2599,0.1708,0.1364,2.1211,0.8695,0.8695,0.3805,0.3105,0.1526,0.4696,0.5316,0.3106,2.1211,2.1211,1.6484,1.0374,0.439,0.4606,1.0665,0.6438,0.4511,2.1211,2.1211,2.1211,0.1415,0.1659,0.1659,0.1304,0.1295,0.1295,0.8695,0.8695,0.8695
Diesel,N3,26001 - 28000 kg,Euro 0,0.0584,0.0018,9.0186,9.5764,9.7859,8.947,9.2593,9.3659,22.2041,19.1778,19.1778,11.3469,10.7264,12.1004,12.6667,11.0434,11.6086,22.2041,22.2041,20.7532,15.6929,16.0336,12.5756,15.9097,15.8666,14.5744,22.2041,22.2041,22.2041,9.7491,10.0882,10.0882,9.4629,9.642,9.642,19.1778,19.1778,19.1778
Diesel,N3,26001 - 28000 kg,Euro 1,0.0584,0.005,6.3038,6.5908,6.76,6.3147,6.4363,6.4982,16.253,13.8012,13.8012,8.0912,7.7198,8.468,9.0539,7.9756,8.3119,16.253,16.253,15.036,11.2782,11.1701,8.9792,11.4529,10.9388,10.4527,16.253,16.253,16.253,7.1194,7.324,7.324,6.7243,6.851,6.851,13.8012,13.8012,13.8012
Diesel,N3,26001 - 28000 kg,Euro 2,0.0584,0.0025,6.76,7.0605,7.1338,6.8058,6.9103,7.0156,17.7958,15.042,15.042,8.8254,8.3161,8.9795,9.7446,8.8619,8.8637,17.7958,17.7958,16.4793,12.4378,11.9004,9.6631,12.6398,11.9703,11.1792,17.7958,17.7958,17.7958,7.5744,7.7111,7.7111,7.2844,7.3308,7.3308,15.042,15.042,15.042
Diesel,N3,26001 - 28000 kg,Euro 3,0.0584,0.0061,5.3352,5.7447,5.7095,5.4281,5.6241,5.8934,14.9793,12.4198,12.4198,6.9098,6.2948,6.9088,8.0295,6.8093,6.6267,14.9793,14.9793,13.7245,10.1626,9.325,7.9323,10.4742,9.7101,8.7712,14.9793,14.9793,14.9793,5.3018,5.2721,5.2721,5.7663,5.6446,5.6446,12.4198,12.4198,12.4198
Diesel,N3,26001 - 28000 kg,Euro 4,0.0584,0.0029,3.8281,3.308,3.2045,4.2051,3.6893,3.5467,13.8281,11.4618,11.4618,5.9456,4.9651,4.4095,7.2201,5.9225,5.2194,13.8281,13.8281,12.7237,9.3365,7.7197,7.1137,9.6264,8.6189,7.5692,13.8281,13.8281,13.8281,2.816,2.8204,2.8204,3.3042,3.1572,3.1572,11.4618,11.4618,11.4618
